city,pop2013,pop2018,percent5yrs,,Average
"Kankakee, IL Metro Area",112120,110024,-1.869425615,,
"Sandusky, OH Micro Area",76048,74615,-1.884336209,,
"Hinesville, GA Metro Area",81555,80008,-1.896879407,,
"Springfield, IL Metro Area",211695,207676,-1.898486029,,
"Cape Girardeau, MO-IL Metro Area",95463,93647,-1.9023077,,
"Bloomsburg-Berwick, PA Metro Area",85338,83696,-1.924113525,,
"Manitowoc, WI Micro Area",80654,79074,-1.958985295,,
"Rockford, IL Metro Area",344623,337658,-2.021049088,,
"Flint, MI Metro Area",415376,406892,-2.042486807,,
"Sierra Vista-Douglas, AZ Metro Area",129473,126770,-2.087693959,,
"Anniston-Oxford-Jacksonville, AL Metro Area",116736,114277,-2.106462445,,
"Utica-Rome, NY Metro Area",297766,291410,-2.134562039,,
"DuBois, PA Micro Area",81174,79388,-2.200211891,,
"Lumberton, NC Micro Area",134841,131831,-2.232258734,,
"Shreveport-Bossier City, LA Metro Area",446471,436341,-2.268904363,,
"Casper, WY Metro Area",80973,79115,-2.294592025,,
"Muncie, IN Metro Area",117484,114772,-2.308399442,,
"Glens Falls, NY Metro Area",128430,125462,-2.31098653,,
"Ashtabula, OH Micro Area",99811,97493,-2.322389316,,
"Ottawa-Peru, IL Micro Area",151378,147853,-2.328607856,,
"Columbus, GA-AL Metro Area",314519,307149,-2.343260662,,
"Pittsfield, MA Metro Area",129585,126348,-2.497974303,,
"Lima, OH Metro Area",105298,102663,-2.502421698,,
"Olean, NY Micro Area",78892,76840,-2.601024185,,
"Martinsville, VA Micro Area",66688,64947,-2.610664587,,
"Williamsport, PA Metro Area",116754,113664,-2.646590267,,
"Meadville, PA Micro Area",87376,85063,-2.647180004,,
"Norwich-New London, CT Metro Area",274150,266784,-2.686850264,,
"Bay City, MI Metro Area",106832,103923,-2.722966901,,
"Muskogee, OK Micro Area",70303,68362,-2.760906362,,
"Hutchinson, KS Micro Area",64190,62342,-2.878953108,,
"Richmond, IN Micro Area",67893,65936,-2.882476839,,
"Corning, NY Micro Area",98650,95796,-2.89305626,,
"Saginaw, MI Metro Area",196542,190800,-2.921512959,,
"Auburn, NY Micro Area",79477,77145,-2.934182216,,
"Erie, PA Metro Area",280294,272061,-2.937273006,,
"Youngstown-Warren-Boardman, OH-PA Metro Area",555506,538952,-2.979985815,,
"Altoona, PA Metro Area",126314,122492,-3.025792865,,
"Marinette, WI-MI Micro Area",65401,63417,-3.033592759,,
"Salem, OH Micro Area",105893,102665,-3.048360137,,
"Binghamton, NY Metro Area",247777,240219,-3.050323476,,
"Rocky Mount, NC Metro Area",150667,146021,-3.083621496,,
"Huntington-Ashland, WV-KY-OH Metro Area",364101,352823,-3.097492179,,
"Torrington, CT Micro Area",186924,181111,-3.109820034,,
"Sunbury, PA Micro Area",94076,91083,-3.181470301,,
"Cumberland, MD-WV Metro Area",101225,97915,-3.269943196,,
"Albany, GA Metro Area",156277,151158,-3.275593977,,
"Pottsville, PA Micro Area",146920,142067,-3.303158181,,
"Somerset, PA Micro Area",76520,73952,-3.355985363,,
"Portsmouth, OH Micro Area",78153,75502,-3.392064284,,
"Ocean City, NJ Metro Area",95897,92560,-3.479775175,,
"Ogdensburg-Massena, NY Micro Area",111963,108047,-3.497584023,,
"Danville, VA Micro Area",105333,101642,-3.504125013,,
"New Castle, PA Micro Area",89333,86184,-3.525013153,,
"Weirton-Steubenville, WV-OH Metro Area",124718,120228,-3.600121875,,
"Peoria, IL Metro Area",382776,368683,-3.681787782,,
"Indiana, PA Micro Area",87745,84501,-3.697076757,,
"Atlantic City-Hammonton, NJ Metro Area",275862,265429,-3.781963445,,
"Jamestown-Dunkirk-Fredonia, NY Micro Area",133080,127939,-3.863089871,,
"Wheeling, WV-OH Metro Area",145757,140045,-3.918851239,,
"Vineland-Bridgeton, NJ Metro Area",157332,150972,-4.042407139,,
"Decatur, IL Metro Area",109278,104712,-4.178334157,,
"New Bern, NC Metro Area",128853,123433,-4.206343663,,
"Lawton, OK Metro Area",131396,125696,-4.338031599,,
"Danville, IL Metro Area",80329,76806,-4.385713752,,
"Orangeburg, SC Micro Area",90942,86934,-4.407204592,,
"Marion, IN Micro Area",69126,65936,-4.61476145,,
"Elmira, NY Metro Area",88506,84254,-4.804194066,,
"Roanoke Rapids, NC Micro Area",74292,70250,-5.44069348,,
"Bluefield, WV-VA Micro Area",106087,99986,-5.750940266,,
"Beckley, WV Metro Area",124432,117272,-5.754146843,,
"Charleston, WV Metro Area",224727,211285,-5.981479751,,
"Johnstown, PA Metro Area",140499,131730,-6.241325561,,
"Pine Bluff, AR Metro Area",96415,90306,-6.336151014,,
"Watertown-Fort Drum, NY Metro Area",119504,111755,-6.484301781,,
"Laurel, MS Micro Area",87563,81762,-6.624944326,,
